Name,Tender Name,Tender Type,Package No,Post Date,Closing Date,Currency,Price of Tender Document,Tender Description,Additional Information,Source of Funds,No. of Lots,Agency,Region,District,Contact Person,Email,Telphone,Fax,Website
Renovation Of Main Bangalow For Chief Fire Service Office (ghana Natio...,Renovation of main Bangalow for Chief Fire Service Office (Ghana National Fire Service),NCT,GNFS/NCT/WKS/0007/2025,"14th April, 2025","28th April, 2025",Ghana Cedi,Gh¢500.00,"Lot 1
Description
Renovation of main Bangalow for Chief Fire Service Office (Ghana National Fire Service)

IFT. NO. GNFS/NCT/WKS/0007/2025

Delivery Period: 3 Months","1.	The Ghana National Fire Service (GNFS) invites sealed Tenders from eligible Contractors for the renovation works as detailed in Table 1 below. Tendering will be conducted through the National Competitive Tendering (NCT) procedures specified in the Public Procurement Act, 2003 (Act 663), and (Amendment) Act, 2016 (Act 914) in the Guidelines of the Public Procurement Authority of the Republic of Ghana.

2.	A complete set of Tender documents in English may be purchased from Ghana National Fire Service (GNFS) Accounts Department from 9.00am to 4.30pm each day by interested Tenderer after payment of non-refundable amount of (GH¢ 500.00) only in cash for the Tender Documents.

3.	Tenders must be delivered to the address below at or before 11.00 am on Thursday 24th April, 2025. Tenders shall be valid for a period of 120 days after the deadline of Tender submission. All Tenders must be accompanied by Tender Security.  

4.	Late Tenders will be rejected. Tenders will be opened in the presence of the Tenderers or their representatives who choose to attend at the address below at 11.00 am on Thursday 24th April, 2025 at the Conference Room. 

The Ag. Chief Fire Officer 
Ghana National Fire Services 
P. O Box 4129 Accra
Tel:  0244250891/0244809480",GOG Consolidated Fund,1,Ghana National Fire Service,Greater Accra,Accra Metropolitan District,The Ag. Chief Fire Officer,emmanueljiagge@gmail.com,0244250891/0244809480,,
Renovation Of Boys Quarters And External Works Chief Fire Service Offi...,Renovation of Boys Quarters and External Works Chief Fire Service Office (Ghana National Fire Service,NCT,GNFS/NCT/WKS/0008/2025,"14th April, 2025","28th April, 2025",Ghana Cedi,Gh¢500.00,"Lot 1
Description
Renovation of Boys Quarters and External Works Chief Fire Service Office (Ghana National Fire Service

IFT. NO. GNFS/NCT/WKS/0008/2025

Delivery Period: 3 Months","1.	The Ghana National Fire Service (GNFS) invites sealed Tenders from eligible Contractors for the renovation works as detailed in Table 1 below. Tendering will be conducted through the National Competitive Tendering (NCT) procedures specified in the Public Procurement Act, 2003 (Act 663), and (Amendment) Act, 2016 (Act 914) in the Guidelines of the Public Procurement Authority of the Republic of Ghana.

2.	A complete set of Tender documents in English may be purchased from Ghana National Fire Service (GNFS) Accounts Department from 9.00am to 4.30pm each day by interested Tenderer after payment of non-refundable amount of (GH¢ 500.00) only in cash for the Tender Documents.

3.	Tenders must be delivered to the address below at or before 11.00 am on Thursday 24th April, 2025. Tenders shall be valid for a period of 120 days after the deadline of Tender submission. All Tenders must be accompanied by Tender Security.  

4.	Late Tenders will be rejected. Tenders will be opened in the presence of the Tenderers or their representatives who choose to attend at the address below at 11.00 am on Thursday 24th April, 2025 at the Conference Room. 

The Ag. Chief Fire Officer 
Ghana National Fire Services 
P. O Box 4129 Accra
Tel:  0244250891/0244809480",GOG Consolidated Fund,2,Ghana National Fire Service,Greater Accra,Accra Metropolitan District,The Ag. Chief Fire Officer,emmanueljiagge@gmail.com,0244250891/0244809480,,
"Supply Of Ict Tools, Computers And Accessories","Supply of ICT Tools, Computers and Accessories",NCT,NEDCo/GD/017/2025,"14th April, 2025","09th May, 2025",Ghana Cedi,Gh¢300.00,"Supply of ICT Tools, Computers and Accessories",Supply of Office Furniture,Internally Generated Funds,1 2 3 4 5,Northern Electricity Distribution Company (NEDCo),Nothern Region,Tamale Metropolitan District,Procurement Manager,twumasi.ankrah@nedcogh.com,0372099016,,
Engagement Of Firms For Servicing Of Air Conditioners And Office Equip...,Engagement of firms for servicing of air conditioners and office equipment,NCT,GR/NYA/FWA/NCT/TS/25/01,"10th April, 2025","05th May, 2025",Ghana Cedi,Gh¢200.00,"LOT 1
IFT/Package No.: GR/NYA/FWA/NCT/TS/25/01
Contract Description: Engagement of firms for servicing of air conditioners and office equipment
Location: Head Office – Accra","1.	The National Youth Authority intends to apply part of its budgetary allocation to fund eligible payments under the contract for Engagement of Firms to provide Technical Services at NYA (Head Office) –Accra

2.	The Procurement Entity is undertaking the Primary Procurement with a view to concluding a Framework Agreement .The Procurement Entity is the sole Entity under the Framework Agreement.  The Procurement Entity now invites sealed Tenders from eligible firms indicated in the description.

3.	  The Framework Agreement to be concluded will be Single-User. The Single-User entitled to procure under the Framework Agreement is National Youth Authority.

4.	The Framework Agreement to be concluded will be Multi-Supplier. 

5.	The selection of an FWA Service Provider to be awarded a Call-off Contract will be conducted through a Secondary Procurement process as defined in the Framework Agreement. However, the conclusion of a Framework Agreement shall not impose any obligation on the Procurement Entity to procure technical services under a Call-off Contract. The conclusion of a Framework Agreement does not guarantee that an FWA Service Provider will be awarded a Call-off Contract. Tendering will be conducted through the National Competitive Tendering procedures specified in the Public Procurement Act, 2003 (Act 663) as amended.

6.	Tenderers may submit Tenders for one or more lots. 

7.	The Framework Agreement(s) shall be concluded for a Term of  two (2) years from the commencement date stated in the Framework Agreement. 

8.	Interested eligible Tenderers may obtain further information from National Youth Authority and inspect the Tender document during office hours 10:00am – 4:00pm at the address given below. The Eligibility requirements include:
•	Valid GRA Tax Clearance Certificate
•	Valid SSNIT Clearance Certificate
•	Valid VAT Registration Certificate (if applicable)
•	Valid Business Registration Certificate
•	Valid Certificate of Incorporation
•	Valid Certificate to Commence Business
•	Valid Registration Certificate from PPA

9.	The Tender document may be procured by interested Tenderers upon the submission of a written application to the address below and upon payment of a non-refundable fee of Two Hundred Ghana Cedis (GH⸿200.00) The method of payment will be in cash (i.e. payment will be made at the account office, and after payment, the Tender document will be picked up at the procurement Office.
10.	Tenders must be deposited into the box which will be placed in front of the conference room of the National Youth Authority   on or before 10:00a.m on Monday, 5th May, 2025. Electronic Tendering will not be permitted. Late Tenders will be rejected. Tenders will be publicly opened in the presence of the Tenderers’ designated representatives and anyone who chooses to attend, at the Conference Room of the National Youth Authority at 10:30am  0n 5TH Mayl,2025 . 

i). Address for information, inspection and purchase of Tender Document
Name: The Chief Executive Officer
	National Youth Authority  
P. O. Box GP 777 
City: Accra.		
Region:  Greater Accra
Country:  Ghana 
Telephone Number: 0302-984293


ii) Address for Tender submission and opening 

Name: The Secretary, 
	Entity Tender Committee
	National Youth Authority  
P. O. Box 301
City:  Accra 		
Region:  Greater Accra
Country:  Ghana
Location for Submission: Conference Hall, National Youth Authority. Accra",GOG Consolidated Fund,1,National Youth Authority,Greater Accra,Accra Metropolitan District,The Chief Executive Officer,unknown@gmail.com,0302-984293,,
Provide Catering Services,Provide catering services,NCT,GR/NYA/FWA/NCT/TS/25/02,"10th April, 2025","05th May, 2025",Ghana Cedi,Gh¢200.00,"LOT 2
IFT/Package No.: GR/NYA/FWA/NCT/TS/25/02
Contract Description: Provide catering services
Location: Head Office – Accra","1.	The National Youth Authority intends to apply part of its budgetary allocation to fund eligible payments under the contract for Engagement of Firms to provide Technical Services at NYA (Head Office) –Accra

2.	The Procurement Entity is undertaking the Primary Procurement with a view to concluding a Framework Agreement .The Procurement Entity is the sole Entity under the Framework Agreement.  The Procurement Entity now invites sealed Tenders from eligible firms indicated in the description.

3.	  The Framework Agreement to be concluded will be Single-User. The Single-User entitled to procure under the Framework Agreement is National Youth Authority.

4.	The Framework Agreement to be concluded will be Multi-Supplier. 

5.	The selection of an FWA Service Provider to be awarded a Call-off Contract will be conducted through a Secondary Procurement process as defined in the Framework Agreement. However, the conclusion of a Framework Agreement shall not impose any obligation on the Procurement Entity to procure technical services under a Call-off Contract. The conclusion of a Framework Agreement does not guarantee that an FWA Service Provider will be awarded a Call-off Contract. Tendering will be conducted through the National Competitive Tendering procedures specified in the Public Procurement Act, 2003 (Act 663) as amended.

6.	Tenderers may submit Tenders for one or more lots. 

7.	The Framework Agreement(s) shall be concluded for a Term of  two (2) years from the commencement date stated in the Framework Agreement. 

8.	Interested eligible Tenderers may obtain further information from National Youth Authority and inspect the Tender document during office hours 10:00am – 4:00pm at the address given below. The Eligibility requirements include:
•	Valid GRA Tax Clearance Certificate
•	Valid SSNIT Clearance Certificate
•	Valid VAT Registration Certificate (if applicable)
•	Valid Business Registration Certificate
•	Valid Certificate of Incorporation
•	Valid Certificate to Commence Business
•	Valid Registration Certificate from PPA

9.	The Tender document may be procured by interested Tenderers upon the submission of a written application to the address below and upon payment of a non-refundable fee of Two Hundred Ghana Cedis (GH⸿200.00) The method of payment will be in cash (i.e. payment will be made at the account office, and after payment, the Tender document will be picked up at the procurement Office.
10.	Tenders must be deposited into the box which will be placed in front of the conference room of the National Youth Authority   on or before 10:00a.m on Monday, 5th May, 2025. Electronic Tendering will not be permitted. Late Tenders will be rejected. Tenders will be publicly opened in the presence of the Tenderers’ designated representatives and anyone who chooses to attend, at the Conference Room of the National Youth Authority at 10:30am  0n 5TH Mayl,2025 . 

i). Address for information, inspection and purchase of Tender Document
Name: The Chief Executive Officer
	National Youth Authority  
P. O. Box GP 777 
City: Accra.		
Region:  Greater Accra
Country:  Ghana 
Telephone Number: 0302-984293


ii) Address for Tender submission and opening 

Name: The Secretary, 
	Entity Tender Committee
	National Youth Authority  
P. O. Box 301
City:  Accra 		
Region:  Greater Accra
Country:  Ghana
Location for Submission: Conference Hall, National Youth Authority. Accra",GOG Consolidated Fund,2,National Youth Authority,Greater Accra,Accra Metropolitan District,The Chief Executive Officer,unknown@gmail.com,0302-984293,,
Provide Hotel Services,Provide hotel services,NCT,GR/NYA/FWA/NCT/TS/25/03,"10th April, 2025","05th May, 2025",Ghana Cedi,Gh¢200.00,"LOT 3
IFT/Package No.: GR/NYA/FWA/NCT/TS/25/03
Contract Description: Provide hotel services
Location: Head Office – Accra","1.	The National Youth Authority intends to apply part of its budgetary allocation to fund eligible payments under the contract for Engagement of Firms to provide Technical Services at NYA (Head Office) –Accra

2.	The Procurement Entity is undertaking the Primary Procurement with a view to concluding a Framework Agreement .The Procurement Entity is the sole Entity under the Framework Agreement.  The Procurement Entity now invites sealed Tenders from eligible firms indicated in the description.

3.	  The Framework Agreement to be concluded will be Single-User. The Single-User entitled to procure under the Framework Agreement is National Youth Authority.

4.	The Framework Agreement to be concluded will be Multi-Supplier. 

5.	The selection of an FWA Service Provider to be awarded a Call-off Contract will be conducted through a Secondary Procurement process as defined in the Framework Agreement. However, the conclusion of a Framework Agreement shall not impose any obligation on the Procurement Entity to procure technical services under a Call-off Contract. The conclusion of a Framework Agreement does not guarantee that an FWA Service Provider will be awarded a Call-off Contract. Tendering will be conducted through the National Competitive Tendering procedures specified in the Public Procurement Act, 2003 (Act 663) as amended.

6.	Tenderers may submit Tenders for one or more lots. 

7.	The Framework Agreement(s) shall be concluded for a Term of  two (2) years from the commencement date stated in the Framework Agreement. 

8.	Interested eligible Tenderers may obtain further information from National Youth Authority and inspect the Tender document during office hours 10:00am – 4:00pm at the address given below. The Eligibility requirements include:
•	Valid GRA Tax Clearance Certificate
•	Valid SSNIT Clearance Certificate
•	Valid VAT Registration Certificate (if applicable)
•	Valid Business Registration Certificate
•	Valid Certificate of Incorporation
•	Valid Certificate to Commence Business
•	Valid Registration Certificate from PPA

9.	The Tender document may be procured by interested Tenderers upon the submission of a written application to the address below and upon payment of a non-refundable fee of Two Hundred Ghana Cedis (GH⸿200.00) The method of payment will be in cash (i.e. payment will be made at the account office, and after payment, the Tender document will be picked up at the procurement Office.
10.	Tenders must be deposited into the box which will be placed in front of the conference room of the National Youth Authority   on or before 10:00a.m on Monday, 5th May, 2025. Electronic Tendering will not be permitted. Late Tenders will be rejected. Tenders will be publicly opened in the presence of the Tenderers’ designated representatives and anyone who chooses to attend, at the Conference Room of the National Youth Authority at 10:30am  0n 5TH Mayl,2025 . 

i). Address for information, inspection and purchase of Tender Document
Name: The Chief Executive Officer
	National Youth Authority  
P. O. Box GP 777 
City: Accra.		
Region:  Greater Accra
Country:  Ghana 
Telephone Number: 0302-984293


ii) Address for Tender submission and opening 

Name: The Secretary, 
	Entity Tender Committee
	National Youth Authority  
P. O. Box 301
City:  Accra 		
Region:  Greater Accra
Country:  Ghana
Location for Submission: Conference Hall, National Youth Authority. Accra",GOG Consolidated Fund,3,National Youth Authority,Greater Accra,Accra Metropolitan District,The Chief Executive Officer,unknown@gmail.com,0302-984293,,
Mechanical Services (repairs Of Vehicles),Mechanical services (repairs of vehicles),NCT,GR/NYA/FWA/NCT/TS/25/04,"10th April, 2025","05th May, 2025",Ghana Cedi,Gh¢200.00,"LOT 4
IFT/Package No.: GR/NYA/FWA/NCT/TS/25/04
Contract Description: Mechanical services (repairs of vehicles)
Location: Head Office – Accra","1.	The National Youth Authority intends to apply part of its budgetary allocation to fund eligible payments under the contract for Engagement of Firms to provide Technical Services at NYA (Head Office) –Accra

2.	The Procurement Entity is undertaking the Primary Procurement with a view to concluding a Framework Agreement .The Procurement Entity is the sole Entity under the Framework Agreement.  The Procurement Entity now invites sealed Tenders from eligible firms indicated in the description.

3.	  The Framework Agreement to be concluded will be Single-User. The Single-User entitled to procure under the Framework Agreement is National Youth Authority.

4.	The Framework Agreement to be concluded will be Multi-Supplier. 

5.	The selection of an FWA Service Provider to be awarded a Call-off Contract will be conducted through a Secondary Procurement process as defined in the Framework Agreement. However, the conclusion of a Framework Agreement shall not impose any obligation on the Procurement Entity to procure technical services under a Call-off Contract. The conclusion of a Framework Agreement does not guarantee that an FWA Service Provider will be awarded a Call-off Contract. Tendering will be conducted through the National Competitive Tendering procedures specified in the Public Procurement Act, 2003 (Act 663) as amended.

6.	Tenderers may submit Tenders for one or more lots. 

7.	The Framework Agreement(s) shall be concluded for a Term of  two (2) years from the commencement date stated in the Framework Agreement. 

8.	Interested eligible Tenderers may obtain further information from National Youth Authority and inspect the Tender document during office hours 10:00am – 4:00pm at the address given below. The Eligibility requirements include:
•	Valid GRA Tax Clearance Certificate
•	Valid SSNIT Clearance Certificate
•	Valid VAT Registration Certificate (if applicable)
•	Valid Business Registration Certificate
•	Valid Certificate of Incorporation
•	Valid Certificate to Commence Business
•	Valid Registration Certificate from PPA

9.	The Tender document may be procured by interested Tenderers upon the submission of a written application to the address below and upon payment of a non-refundable fee of Two Hundred Ghana Cedis (GH⸿200.00) The method of payment will be in cash (i.e. payment will be made at the account office, and after payment, the Tender document will be picked up at the procurement Office.
10.	Tenders must be deposited into the box which will be placed in front of the conference room of the National Youth Authority   on or before 10:00a.m on Monday, 5th May, 2025. Electronic Tendering will not be permitted. Late Tenders will be rejected. Tenders will be publicly opened in the presence of the Tenderers’ designated representatives and anyone who chooses to attend, at the Conference Room of the National Youth Authority at 10:30am  0n 5TH Mayl,2025 . 

i). Address for information, inspection and purchase of Tender Document
Name: The Chief Executive Officer
	National Youth Authority  
P. O. Box GP 777 
City: Accra.		
Region:  Greater Accra
Country:  Ghana 
Telephone Number: 0302-984293


ii) Address for Tender submission and opening 

Name: The Secretary, 
	Entity Tender Committee
	National Youth Authority  
P. O. Box 301
City:  Accra 		
Region:  Greater Accra
Country:  Ghana
Location for Submission: Conference Hall, National Youth Authority. Accra",GOG Consolidated Fund,4,National Youth Authority,Greater Accra,Accra Metropolitan District,The Chief Executive Officer,unknown@gmail.com,0302-984293,,
Providing Travelling Services,Providing travelling services,NCT,GR/NYA/FWA/NCT/TS/25/05,"10th April, 2025","05th May, 2025",Ghana Cedi,Gh¢200.00,"LOT 5
IFT/Package No.: GR/NYA/FWA/NCT/TS/25/05
Contract Description: Providing travelling services
Location: Head Office – Accra","1.	The National Youth Authority intends to apply part of its budgetary allocation to fund eligible payments under the contract for Engagement of Firms to provide Technical Services at NYA (Head Office) –Accra

2.	The Procurement Entity is undertaking the Primary Procurement with a view to concluding a Framework Agreement .The Procurement Entity is the sole Entity under the Framework Agreement.  The Procurement Entity now invites sealed Tenders from eligible firms indicated in the description.

3.	  The Framework Agreement to be concluded will be Single-User. The Single-User entitled to procure under the Framework Agreement is National Youth Authority.

4.	The Framework Agreement to be concluded will be Multi-Supplier. 

5.	The selection of an FWA Service Provider to be awarded a Call-off Contract will be conducted through a Secondary Procurement process as defined in the Framework Agreement. However, the conclusion of a Framework Agreement shall not impose any obligation on the Procurement Entity to procure technical services under a Call-off Contract. The conclusion of a Framework Agreement does not guarantee that an FWA Service Provider will be awarded a Call-off Contract. Tendering will be conducted through the National Competitive Tendering procedures specified in the Public Procurement Act, 2003 (Act 663) as amended.

6.	Tenderers may submit Tenders for one or more lots. 

7.	The Framework Agreement(s) shall be concluded for a Term of  two (2) years from the commencement date stated in the Framework Agreement. 

8.	Interested eligible Tenderers may obtain further information from National Youth Authority and inspect the Tender document during office hours 10:00am – 4:00pm at the address given below. The Eligibility requirements include:
•	Valid GRA Tax Clearance Certificate
•	Valid SSNIT Clearance Certificate
•	Valid VAT Registration Certificate (if applicable)
•	Valid Business Registration Certificate
•	Valid Certificate of Incorporation
•	Valid Certificate to Commence Business
•	Valid Registration Certificate from PPA

9.	The Tender document may be procured by interested Tenderers upon the submission of a written application to the address below and upon payment of a non-refundable fee of Two Hundred Ghana Cedis (GH⸿200.00) The method of payment will be in cash (i.e. payment will be made at the account office, and after payment, the Tender document will be picked up at the procurement Office.
10.	Tenders must be deposited into the box which will be placed in front of the conference room of the National Youth Authority   on or before 10:00a.m on Monday, 5th May, 2025. Electronic Tendering will not be permitted. Late Tenders will be rejected. Tenders will be publicly opened in the presence of the Tenderers’ designated representatives and anyone who chooses to attend, at the Conference Room of the National Youth Authority at 10:30am  0n 5TH Mayl,2025 . 

i). Address for information, inspection and purchase of Tender Document
Name: The Chief Executive Officer
	National Youth Authority  
P. O. Box GP 777 
City: Accra.		
Region:  Greater Accra
Country:  Ghana 
Telephone Number: 0302-984293


ii) Address for Tender submission and opening 

Name: The Secretary, 
	Entity Tender Committee
	National Youth Authority  
P. O. Box 301
City:  Accra 		
Region:  Greater Accra
Country:  Ghana
Location for Submission: Conference Hall, National Youth Authority. Accra",GOG Consolidated Fund,5,National Youth Authority,Greater Accra,Accra Metropolitan District,The Chief Executive Officer,unknown@gmail.com,0302-984293,,
Providing Media Publicity And Coverage,Providing media publicity and coverage,NCT,GR/NYA/FWA/NCT/TS/25/06,"10th April, 2025","05th May, 2025",Ghana Cedi,Gh¢200.00,"LOT 6
IFT/Package No.: GR/NYA/FWA/NCT/TS/25/06
Contract Description: Providing media publicity and coverage
Location: Head Office – Accra","1.	The National Youth Authority intends to apply part of its budgetary allocation to fund eligible payments under the contract for Engagement of Firms to provide Technical Services at NYA (Head Office) –Accra

2.	The Procurement Entity is undertaking the Primary Procurement with a view to concluding a Framework Agreement .The Procurement Entity is the sole Entity under the Framework Agreement.  The Procurement Entity now invites sealed Tenders from eligible firms indicated in the description.

3.	  The Framework Agreement to be concluded will be Single-User. The Single-User entitled to procure under the Framework Agreement is National Youth Authority.

4.	The Framework Agreement to be concluded will be Multi-Supplier. 

5.	The selection of an FWA Service Provider to be awarded a Call-off Contract will be conducted through a Secondary Procurement process as defined in the Framework Agreement. However, the conclusion of a Framework Agreement shall not impose any obligation on the Procurement Entity to procure technical services under a Call-off Contract. The conclusion of a Framework Agreement does not guarantee that an FWA Service Provider will be awarded a Call-off Contract. Tendering will be conducted through the National Competitive Tendering procedures specified in the Public Procurement Act, 2003 (Act 663) as amended.

6.	Tenderers may submit Tenders for one or more lots. 

7.	The Framework Agreement(s) shall be concluded for a Term of  two (2) years from the commencement date stated in the Framework Agreement. 

8.	Interested eligible Tenderers may obtain further information from National Youth Authority and inspect the Tender document during office hours 10:00am – 4:00pm at the address given below. The Eligibility requirements include:
•	Valid GRA Tax Clearance Certificate
•	Valid SSNIT Clearance Certificate
•	Valid VAT Registration Certificate (if applicable)
•	Valid Business Registration Certificate
•	Valid Certificate of Incorporation
•	Valid Certificate to Commence Business
•	Valid Registration Certificate from PPA

9.	The Tender document may be procured by interested Tenderers upon the submission of a written application to the address below and upon payment of a non-refundable fee of Two Hundred Ghana Cedis (GH⸿200.00) The method of payment will be in cash (i.e. payment will be made at the account office, and after payment, the Tender document will be picked up at the procurement Office.
10.	Tenders must be deposited into the box which will be placed in front of the conference room of the National Youth Authority   on or before 10:00a.m on Monday, 5th May, 2025. Electronic Tendering will not be permitted. Late Tenders will be rejected. Tenders will be publicly opened in the presence of the Tenderers’ designated representatives and anyone who chooses to attend, at the Conference Room of the National Youth Authority at 10:30am  0n 5TH Mayl,2025 . 

i). Address for information, inspection and purchase of Tender Document
Name: The Chief Executive Officer
	National Youth Authority  
P. O. Box GP 777 
City: Accra.		
Region:  Greater Accra
Country:  Ghana 
Telephone Number: 0302-984293


ii) Address for Tender submission and opening 

Name: The Secretary, 
	Entity Tender Committee
	National Youth Authority  
P. O. Box 301
City:  Accra 		
Region:  Greater Accra
Country:  Ghana
Location for Submission: Conference Hall, National Youth Authority. Accra",GOG Consolidated Fund,6,National Youth Authority,Greater Accra,Accra Metropolitan District,The Chief Executive Officer,unknown@gmail.com,0302-984293,,
Engagement Of Insurance Brokers,Engagement of insurance brokers,NCT,GR/NYA/FWA/NCT/TS/25/07,"10th April, 2025","05th May, 2025",Ghana Cedi,Gh¢200.00,"LOT 7
IFT/Package No.: GR/NYA/FWA/NCT/TS/25/07
Contract Description: Engagement of insurance brokers
Location: Head Office – Accra","1.	The National Youth Authority intends to apply part of its budgetary allocation to fund eligible payments under the contract for Engagement of Firms to provide Technical Services at NYA (Head Office) –Accra

2.	The Procurement Entity is undertaking the Primary Procurement with a view to concluding a Framework Agreement .The Procurement Entity is the sole Entity under the Framework Agreement.  The Procurement Entity now invites sealed Tenders from eligible firms indicated in the description.

3.	  The Framework Agreement to be concluded will be Single-User. The Single-User entitled to procure under the Framework Agreement is National Youth Authority.

4.	The Framework Agreement to be concluded will be Multi-Supplier. 

5.	The selection of an FWA Service Provider to be awarded a Call-off Contract will be conducted through a Secondary Procurement process as defined in the Framework Agreement. However, the conclusion of a Framework Agreement shall not impose any obligation on the Procurement Entity to procure technical services under a Call-off Contract. The conclusion of a Framework Agreement does not guarantee that an FWA Service Provider will be awarded a Call-off Contract. Tendering will be conducted through the National Competitive Tendering procedures specified in the Public Procurement Act, 2003 (Act 663) as amended.

6.	Tenderers may submit Tenders for one or more lots. 

7.	The Framework Agreement(s) shall be concluded for a Term of  two (2) years from the commencement date stated in the Framework Agreement. 

8.	Interested eligible Tenderers may obtain further information from National Youth Authority and inspect the Tender document during office hours 10:00am – 4:00pm at the address given below. The Eligibility requirements include:
•	Valid GRA Tax Clearance Certificate
•	Valid SSNIT Clearance Certificate
•	Valid VAT Registration Certificate (if applicable)
•	Valid Business Registration Certificate
•	Valid Certificate of Incorporation
•	Valid Certificate to Commence Business
•	Valid Registration Certificate from PPA

9.	The Tender document may be procured by interested Tenderers upon the submission of a written application to the address below and upon payment of a non-refundable fee of Two Hundred Ghana Cedis (GH⸿200.00) The method of payment will be in cash (i.e. payment will be made at the account office, and after payment, the Tender document will be picked up at the procurement Office.
10.	Tenders must be deposited into the box which will be placed in front of the conference room of the National Youth Authority   on or before 10:00a.m on Monday, 5th May, 2025. Electronic Tendering will not be permitted. Late Tenders will be rejected. Tenders will be publicly opened in the presence of the Tenderers’ designated representatives and anyone who chooses to attend, at the Conference Room of the National Youth Authority at 10:30am  0n 5TH Mayl,2025 . 

i). Address for information, inspection and purchase of Tender Document
Name: The Chief Executive Officer
	National Youth Authority  
P. O. Box GP 777 
City: Accra.		
Region:  Greater Accra
Country:  Ghana 
Telephone Number: 0302-984293


ii) Address for Tender submission and opening 

Name: The Secretary, 
	Entity Tender Committee
	National Youth Authority  
P. O. Box 301
City:  Accra 		
Region:  Greater Accra
Country:  Ghana
Location for Submission: Conference Hall, National Youth Authority. Accra",GOG Consolidated Fund,7,National Youth Authority,Greater Accra,Accra Metropolitan District,The Chief Executive Officer,unknown@gmail.com,0302-984293,,
Engagement Of Firms To Provide Sanitation And Fumigation Services,Engagement of firms to provide sanitation and fumigation services,NCT,GR/NYA/FWA/NCT/TS/25/08,"10th April, 2025","05th May, 2025",Ghana Cedi,Gh¢200.00,"LOT 8
IFT/Package No.: GR/NYA/FWA/NCT/TS/25/08
Contract Description: Engagement of firms to provide sanitation and fumigation services
Location: Head Office – Accra","1.	The National Youth Authority intends to apply part of its budgetary allocation to fund eligible payments under the contract for Engagement of Firms to provide Technical Services at NYA (Head Office) –Accra

2.	The Procurement Entity is undertaking the Primary Procurement with a view to concluding a Framework Agreement .The Procurement Entity is the sole Entity under the Framework Agreement.  The Procurement Entity now invites sealed Tenders from eligible firms indicated in the description.

3.	  The Framework Agreement to be concluded will be Single-User. The Single-User entitled to procure under the Framework Agreement is National Youth Authority.

4.	The Framework Agreement to be concluded will be Multi-Supplier. 

5.	The selection of an FWA Service Provider to be awarded a Call-off Contract will be conducted through a Secondary Procurement process as defined in the Framework Agreement. However, the conclusion of a Framework Agreement shall not impose any obligation on the Procurement Entity to procure technical services under a Call-off Contract. The conclusion of a Framework Agreement does not guarantee that an FWA Service Provider will be awarded a Call-off Contract. Tendering will be conducted through the National Competitive Tendering procedures specified in the Public Procurement Act, 2003 (Act 663) as amended.

6.	Tenderers may submit Tenders for one or more lots. 

7.	The Framework Agreement(s) shall be concluded for a Term of  two (2) years from the commencement date stated in the Framework Agreement. 

8.	Interested eligible Tenderers may obtain further information from National Youth Authority and inspect the Tender document during office hours 10:00am – 4:00pm at the address given below. The Eligibility requirements include:
•	Valid GRA Tax Clearance Certificate
•	Valid SSNIT Clearance Certificate
•	Valid VAT Registration Certificate (if applicable)
•	Valid Business Registration Certificate
•	Valid Certificate of Incorporation
•	Valid Certificate to Commence Business
•	Valid Registration Certificate from PPA

9.	The Tender document may be procured by interested Tenderers upon the submission of a written application to the address below and upon payment of a non-refundable fee of Two Hundred Ghana Cedis (GH⸿200.00) The method of payment will be in cash (i.e. payment will be made at the account office, and after payment, the Tender document will be picked up at the procurement Office.
10.	Tenders must be deposited into the box which will be placed in front of the conference room of the National Youth Authority   on or before 10:00a.m on Monday, 5th May, 2025. Electronic Tendering will not be permitted. Late Tenders will be rejected. Tenders will be publicly opened in the presence of the Tenderers’ designated representatives and anyone who chooses to attend, at the Conference Room of the National Youth Authority at 10:30am  0n 5TH Mayl,2025 . 

i). Address for information, inspection and purchase of Tender Document
Name: The Chief Executive Officer
	National Youth Authority  
P. O. Box GP 777 
City: Accra.		
Region:  Greater Accra
Country:  Ghana 
Telephone Number: 0302-984293


ii) Address for Tender submission and opening 

Name: The Secretary, 
	Entity Tender Committee
	National Youth Authority  
P. O. Box 301
City:  Accra 		
Region:  Greater Accra
Country:  Ghana
Location for Submission: Conference Hall, National Youth Authority. Accra",GOG Consolidated Fund,8,National Youth Authority,Greater Accra,Accra Metropolitan District,The Chief Executive Officer,unknown@gmail.com,0302-984293,,
